name,key,value,unit,source
hogsmill-storm-sewerage,type,Sewerage,-,-
hogsmill-house-sewerage,capacity,88.89348,Ml/hr,12mm/hr * runoff coef
hogsmill-house-sewerage,leakage,5,%,est
hogsmill-house-sewerage,type,Sewerage,-,-
hogsmill-wwtw,stormwater_capacity,20,Ml,est - other storm tanks are ~2x hourly treatment capacity
hogsmill-wwtw,treatment_capacity,10,Ml/hr,https://www.whatdotheyknow.com/request/capacity_of_londons_sewage_treat
hogsmill-wwtw,type,Wwtw,-,-
lea-bridge-incremental,data_input,lea-bridge,-,NRFA https://nrfa.ceh.ac.uk/
lea-bridge-incremental,type,Inflow,-,-
lee,data_input,lee-tributary,-,NRFA https://nrfa.ceh.ac.uk/
lee,type,Inflow,-,-
lee-abstraction,mrf,2,Ml/hr,https://www.thameswater.co.uk/media-library/home/about-us/regulation/drought-plan/drought-plan-2017/thames-water-draft-drought-plan.pdf
lee-abstraction,type,Junction,-,-
lee-deephams-mixer,type,Junction,-,-
longreach-land,area,386076252,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
longreach-land,runoff_coef,0.27,%/100,OS mastermap & HR Wallingford runoff categories
longreach-land,type,Land,-,-
longreach-rainfall,area,386076252,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
longreach-rainfall,data_input,longreach-rainfall,-,HadUK https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid
longreach-rainfall,type,Inflow,-,-
longreach-storm-sewerage,capacity,1741.976049,Ml/hr,12mm/hr * runoff coef
longreach-storm-sewerage,leakage,5,%,est
longreach-storm-sewerage,type,Sewerage,-,-
longreach-house-sewerage,capacity,435.4940123,Ml/hr,12mm/hr * runoff coef
longreach-house-sewerage,leakage,5,%,est
longreach-house-sewerage,type,Sewerage,-,-
longreach-wwtw,stormwater_capacity,14,Ml,https://infrastructure.planninginspectorate.gov.uk/wp-content/ipc/uploads/projects/WW010001/WW010001-001266-8.2.3_Objectives_and_Compliance_Working_Group_Report_Volume_2.pdf
longreach-wwtw,treatment_capacity,20,Ml/hr,https://www.whatdotheyknow.com/request/capacity_of_londons_sewage_treat
longreach-wwtw,type,Wwtw,-,-
mogden-land,area,417941915,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
mogden-land,runoff_coef,0.37,%/100,OS mastermap & HR Wallingford runoff categories
mogden-land,type,Land,-,-
mogden-rainfall,area,417941915,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
mogden-rainfall,data_input,mogden-rainfall,-,HadUK https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid
mogden-rainfall,type,Inflow,-,-
mogden-house-sewerage,capacity,300.9181788,Ml/hr,12mm/hr * runoff coef
mogden-house-sewerage,leakage,5,%,est
mogden-house-sewerage,type,Sewerage,-,-
mogden-storm-sewerage,capacity,1203.672715,Ml/hr,12mm/hr * runoff coef
mogden-storm-sewerage,leakage,5,%,est
mogden-storm-sewerage,type,Sewerage,-,-
mogden-wwtw,stormwater_capacity,96,Ml,https://www.whatdotheyknow.com/request/mogden_stw_modelling_of_storm_di
mogden-wwtw,treatment_capacity,45,Ml/hr,https://www.whatdotheyknow.com/request/capacity_of_londons_sewage_treat
mogden-wwtw,type,Wwtw,-,-
ocean-waste,type,Junction,-,-
ravensbourne,data_input,ravensbourne,-,NRFA https://nrfa.ceh.ac.uk/
ravensbourne,type,Inflow,-,-
riverside-land,area,97778110,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
riverside-land,runoff_coef,0.32,%/100,OS mastermap & HR Wallingford runoff categories
riverside-land,type,Land,-,-
riverside-rainfall,area,97778110,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
riverside-rainfall,data_input,riverside-rainfall,-,HadUK https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid
riverside-rainfall,type,Inflow,-,-
riverside-house-sewerage,capacity,110.2937081,Ml/hr,12mm/hr * runoff coef
riverside-house-sewerage,leakage,5,%,est
riverside-house-sewerage,type,Sewerage,-,-
riverside-storm-sewerage,capacity,441.1748323,Ml/hr,12mm/hr * runoff coef
riverside-storm-sewerage,leakage,5,%,est
riverside-storm-sewerage,type,Sewerage,-,-
riverside-wwtw,stormwater_capacity,21,Ml,https://infrastructure.planninginspectorate.gov.uk/wp-content/ipc/uploads/projects/WW010001/WW010001-001266-8.2.3_Objectives_and_Compliance_Working_Group_Report_Volume_2.pdf
riverside-wwtw,treatment_capacity,9,Ml/hr,https://www.whatdotheyknow.com/request/capacity_of_londons_sewage_treat
riverside-wwtw,type,Wwtw,-,-
thames-at-dartford-incremental,data_input,dartford-incremental,-,NRFA https://nrfa.ceh.ac.uk/
thames-at-dartford-incremental,type,Inflow,-,-
thames-at-teddington,type,Junction,-,-
thames-central-wwtw-mixer,type,Junction,-,-
thames-estuary-mixer,type,Junction,-,-
thames-lee-ravensbourne-mixer,type,Junction,-,-
thames-mogden-mixer,type,Junction,-,-
thames-hogsmill-junction,type,Junction,-,-
thames-wandle-mixer,type,Junction,-,-
upstream-abstractions,constant,75,Ml/hr,https://www.thameswater.co.uk/media-library/home/about-us/regulation/drought-plan/drought-plan-2017/thames-water-draft-drought-plan.pdf
upstream-abstractions,type,Demand,-,-
lee-take,constant,12,Ml/hr,https://www.thameswater.co.uk/media-library/home/about-us/regulation/drought-plan/drought-plan-2017/thames-water-draft-drought-plan.pdf
lee-take,type,Demand,-,-
wandle,data_input,wandle,-,NRFA https://nrfa.ceh.ac.uk/
wandle,type,Inflow,-,-
wandle-beddington-mixer,type,Junction,-,-
hogsmill-junction,type,Junction,-,-
thames-upstream,type,Inflow,-,-
thames-upstream,data_input,thames-upstream,-,NRFA https://nrfa.ceh.ac.uk/
stort,type,Inflow,-,-
stort,data_input,stort,-,NRFA https://nrfa.ceh.ac.uk/
beckton,leakage,0.178751478,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beckton,indoor_returned,0.849583351,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beckton,type,Demand,-,-
beckton,external,8.63585282,l/p/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beckton,population,1513630.313,people,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beckton,property_leakage,0.061336666,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beckton,constant,70.15412322,Ml/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beckton,area,294564052.3,m2,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beddington,leakage,0.168659297,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beddington,indoor_returned,0.83908932,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beddington,type,Demand,-,-
beddington,external,4.027523707,l/p/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beddington,population,221844.3438,people,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beddington,property_leakage,0.068672932,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beddington,constant,9.846448418,Ml/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
beddington,area,103264480.6,m2,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
crossness,leakage,0.214875557,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
crossness,indoor_returned,0.788302972,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
crossness,type,Demand,-,-
crossness,external,6.415557211,l/p/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
crossness,population,1188983.755,people,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
crossness,property_leakage,0.0820578,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
crossness,constant,55.44677823,Ml/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
crossness,area,211333355.1,m2,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
deephams,leakage,0.176764629,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
deephams,indoor_returned,0.861526537,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
deephams,type,Demand,-,-
deephams,external,10.21907294,l/p/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
deephams,population,986126.151,people,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
deephams,property_leakage,0.066867172,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
deephams,constant,44.51763244,Ml/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
deephams,area,189715178.2,m2,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
hogsmill,leakage,0.168659297,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
hogsmill,indoor_returned,0.83908932,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
hogsmill,type,Demand,-,-
hogsmill,external,4.027523707,l/p/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
hogsmill,population,279359.2125,people,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
hogsmill,property_leakage,0.068672932,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
hogsmill,constant,12.69188031,Ml/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
hogsmill,area,92597375.25,m2,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
longreach,leakage,0.214875557,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
longreach,indoor_returned,0.788302972,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
longreach,type,Demand,-,-
longreach,external,6.415557211,l/p/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
longreach,population,1889199.238,people,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
longreach,property_leakage,0.0820578,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
longreach,constant,88.1004562,Ml/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
longreach,area,335791647.2,m2,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
mogden,leakage,0.158090946,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
mogden,indoor_returned,0.893127973,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
mogden,type,Demand,-,-
mogden,external,10.75080317,l/p/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
mogden,population,1530476.017,people,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
mogden,property_leakage,0.058886032,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
mogden,constant,65.24517479,Ml/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
mogden,area,408036952.4,m2,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
riverside,leakage,0.142627398,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
riverside,indoor_returned,0.91086373,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
riverside,type,Demand,-,-
riverside,external,10.85614843,l/p/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
riverside,population,104521.6264,people,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
riverside,property_leakage,0.040615533,%/100,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
riverside,constant,3.573544582,Ml/d,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
riverside,area,95410974.74,m2,WRMP Planning Tables https://data.gov.uk/dataset/fb38a40c-ebc1-4e6e-912c-bb47a76f6149/revised-draft-water-resources-management-plan-2019-supply-demand-data-at-company-level-2020-21-to-2044-45#licence-info
crane,type,Inflow,-,-
crane,data_input,crane,-,NRFA https://nrfa.ceh.ac.uk/
